,EdLevel,EdLevelClean
15951,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15952,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15953,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15954,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15955,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15956,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15957,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15958,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15959,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15960,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15961,Some college/university study without earning a degree,Some college (no degree)
15962,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15963,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15964,Something else,Something else
