,Age,EdLevel,AgeClean,AgeOrder,EdLevelClean
17434,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
17435,18-24 years old,Something else,18-24,2,Something else
17436,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",55-64,6,Bachelor's degree
17437,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17438,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
17439,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17440,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17441,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",55-64,6,Bachelor's degree
17442,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
17443,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",35-44,4,Professional degree
17444,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17445,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17446,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17447,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17448,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17449,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17450,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17451,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24,2,Secondary School
17452,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
17453,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17454,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24,2,Secondary School
17455,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24,2,Secondary School
17456,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
17457,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
17458,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
17459,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17460,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
17461,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17462,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17463,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17464,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17465,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
17466,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17467,55-64 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",55-64,6,Professional degree
17468,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17469,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17470,18-24 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",18-24,2,Master's degree
17471,Prefer not to say,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Prefer not to say,8,Master's degree
17472,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17473,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17474,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17475,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
17476,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54,5,Master's degree
17477,18-24 years old,Some college/university study without earning a degree,18-24,2,Some college (no degree)
17478,65 years or older,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",65+,7,Bachelor's degree
17479,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34,3,Secondary School
17480,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17481,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17482,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17483,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17484,Under 18 years old,Primary/elementary school,Under 18,1,Primary/elementary school
17485,45-54 years old,Some college/university study without earning a degree,45-54,5,Some college (no degree)
17486,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17487,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17488,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
17489,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17490,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17491,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
17492,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17493,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
17494,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
17495,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
17496,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17497,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24,2,Secondary School
17498,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17499,65 years or older,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",65+,7,Master's degree
17500,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17501,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17502,45-54 years old,Some college/university study without earning a degree,45-54,5,Some college (no degree)
17503,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",45-54,5,Professional degree
17504,18-24 years old,Some college/university study without earning a degree,18-24,2,Some college (no degree)
17505,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17506,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34,3,Secondary School
17507,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34,3,Secondary School
17508,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17509,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17510,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17511,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",35-44,4,Professional degree
17512,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17513,45-54 years old,Some college/university study without earning a degree,45-54,5,Some college (no degree)
17514,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17515,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17516,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
17517,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17518,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17519,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17520,18-24 years old,Some college/university study without earning a degree,18-24,2,Some college (no degree)
17521,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34,3,Secondary School
17522,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17523,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17524,55-64 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",55-64,6,Professional degree
17525,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17526,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
17527,25-34 years old,"Associate degree (A.A., A.S., etc.)",25-34,3,Associate degree
17528,55-64 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",55-64,6,Master's degree
17529,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",25-34,3,Professional degree
17530,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
17531,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17532,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54,5,Master's degree
17533,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
17534,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17535,18-24 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",18-24,2,Master's degree
17536,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17537,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17538,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17539,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17540,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
17541,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17542,35-44 years old,Primary/elementary school,35-44,4,Primary/elementary school
17543,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17544,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
17545,45-54 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",45-54,5,Secondary School
17546,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24,2,Secondary School
17547,45-54 years old,Some college/university study without earning a degree,45-54,5,Some college (no degree)
17548,65 years or older,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",65+,7,Master's degree
17549,25-34 years old,"Associate degree (A.A., A.S., etc.)",25-34,3,Associate degree
17550,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",35-44,4,Secondary School
17551,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17552,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17553,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
17554,45-54 years old,Some college/university study without earning a degree,45-54,5,Some college (no degree)
17555,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
17556,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
17557,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
17558,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17559,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
17560,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
17561,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17562,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17563,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
17564,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17565,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17566,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
17567,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17568,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17569,18-24 years old,Some college/university study without earning a degree,18-24,2,Some college (no degree)
17570,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17571,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
17572,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17573,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
17574,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
17575,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17576,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17577,45-54 years old,"Associate degree (A.A., A.S., etc.)",45-54,5,Associate degree
17578,45-54 years old,Some college/university study without earning a degree,45-54,5,Some college (no degree)
17579,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17580,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17581,25-34 years old,"Associate degree (A.A., A.S., etc.)",25-34,3,Associate degree
17582,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
17583,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
17584,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17585,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17586,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
17587,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
17588,18-24 years old,Some college/university study without earning a degree,18-24,2,Some college (no degree)
17589,Under 18 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Under 18,1,Secondary School
17590,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17591,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17592,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
17593,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17594,55-64 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",55-64,6,Master's degree
17595,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17596,45-54 years old,Some college/university study without earning a degree,45-54,5,Some college (no degree)
17597,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17598,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",55-64,6,Bachelor's degree
17599,18-24 years old,Some college/university study without earning a degree,18-24,2,Some college (no degree)
17600,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17601,18-24 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",18-24,2,Master's degree
17602,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17603,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17604,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54,5,Master's degree
17605,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17606,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17607,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17608,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17609,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17610,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24,2,Secondary School
17611,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",55-64,6,Bachelor's degree
17612,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17613,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
17614,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17615,25-34 years old,Something else,25-34,3,Something else
17616,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17617,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17618,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17619,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17620,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17621,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17622,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
17623,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17624,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17625,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17626,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17627,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17628,25-34 years old,"Associate degree (A.A., A.S., etc.)",25-34,3,Associate degree
17629,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
17630,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17631,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17632,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17633,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17634,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17635,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
17636,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
17637,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17638,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17639,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
17640,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17641,18-24 years old,Primary/elementary school,18-24,2,Primary/elementary school
17642,18-24 years old,"Associate degree (A.A., A.S., etc.)",18-24,2,Associate degree
17643,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17644,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17645,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54,5,Master's degree
17646,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17647,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17648,18-24 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",18-24,2,Master's degree
17649,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17650,35-44 years old,Primary/elementary school,35-44,4,Primary/elementary school
17651,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17652,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17653,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54,5,Master's degree
17654,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17655,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17656,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17657,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17658,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17659,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17660,55-64 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",55-64,6,Master's degree
17661,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
17662,45-54 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",45-54,5,Secondary School
17663,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17664,18-24 years old,Some college/university study without earning a degree,18-24,2,Some college (no degree)
17665,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17666,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34,3,Secondary School
17667,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17668,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17669,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17670,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17671,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
17672,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
17673,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17674,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17675,35-44 years old,"Associate degree (A.A., A.S., etc.)",35-44,4,Associate degree
17676,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17677,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17678,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
17679,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17680,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24,2,Secondary School
17681,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17682,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17683,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34,3,Secondary School
17684,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17685,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
17686,18-24 years old,"Associate degree (A.A., A.S., etc.)",18-24,2,Associate degree
17687,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17688,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17689,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17690,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17691,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34,3,Master's degree
17692,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17693,Under 18 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Under 18,1,Secondary School
17694,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17695,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
17696,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17697,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44,4,Bachelor's degree
17698,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17699,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17700,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18-24,2,Bachelor's degree
17701,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17702,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",35-44,4,Secondary School
17703,35-44 years old,Some college/university study without earning a degree,35-44,4,Some college (no degree)
17704,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34,3,Bachelor's degree
17705,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44,4,Master's degree
17706,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54,5,Bachelor's degree
17707,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24,2,Secondary School
17708,25-34 years old,Some college/university study without earning a degree,25-34,3,Some college (no degree)
